	facts
645	I hate popcorn, Nachos make me happy, I m constantly making short films with the camcorder my parents got me, I work in a movie theater, My boyfriend is in acting school, I am short, I like to sew, My hair is brown, I am not thin, I have one cat
646	I hate popcorn, Nachos make me happy, I am constantly making short films with the camcorder my parents got me, My boyfriend is in acting school, I work in a movie theater, I can benchpress 345 pounds, I can also squat 400 pounds, I am a weight lifter, My country is russia
647	I hate running, I am married with kids, My favorite color is orange, I have 2 cats and a dog, I enjoy watching baseball, I work for a newspaper, My passion is writing, I love to do yoga, I am single
648	I hate running, I enjoy watching baseball, My favorite color is orange, I have 2 cats and a dog, I am a couch potato, I love the walking dead, I do not have a job, I love comics, I eat junk food
649	I hate running, My favorite color is orange, I enjoy watching baseball, I am married with kids, I cannot drive, I am on a diet, I am thirty two years old, I have been married eight years, I am a house wife
650	I hate running, My favorite color is orange, I enjoy watching baseball, I am married with kids, I have 2 cats and a dog, I live near a park, I do not have any children, I do not have a car, I listen to podcasts, My favorite color is purple
651	I hate running, My favorite color is orange, I enjoy watching baseball, I have 2 cats and a dog, I started at google on an internship, I am a software engineer, My favorite seafood in lobster, I work at google
652	I hate to lose, My father died when i was 2, My favorite season is spring, I love fishing, I am in school, I work 2 jobs, I am married, I love the beach, My favorite color is blue
653	I have a beard, I drive a truck, I like rap music, I graduated high school, I live on a farm, I like candy and soda, I am not healthy, I am a man, I weight 300 pounds
654	I have a beard, I drive a truck, I live on a farm, I like rap music, I have big face cheeks, I like reading, I m smart too, I am also round, I am short
655	I have a beard, I like rap music, I graduated high school, I drive a truck, I work in a lab, I have two brothers, I believe in love at first sight, I ve been a vegan since i was 5
656	I have a beard, I graduated high school, I like rap music, I live on a farm, I drive a truck, I am a barista, My family is from algeria, I play jazz piano in a band, I can speak arabic , english , and french
657	I have one cat, I am not thin, I like to sew, My hair is brown, I am male, I work in accounting, I lease my car, I have two dogs
658	I have one cat, I am not thin, I like to sew, My hair is brown, I have a beard, I drive a truck, I graduated high school, I live on a farm
659	I have one son, I like to read, I like to go swimming, My parents are not married anymore, I have epilepsy, I did not pass the audition , but i will keep trying, I took classes while growing up, I think i have talent for it, I auditionated in a cooking show
660	I have one son, I have epilepsy, My parents are not married anymore, I like to go swimming, I like to place blame on other people even when i know it is my fault, I am always the one who buys the beers, I like to smell my own farts, I am from san fransico, My beer gut is so huge i haven t seen my feet in two years
661	I have one son, I m in the military, My favorite color is blue, I was a wrestler in high school, I simply walk around when i have nothing to do, I have high speed internet, I can beat anyone in chess, I saw a solar eclipse when i was 8 years old
662	I have one son, I like to go swimming, I like to read, My parents are not married anymore, I have epilepsy, I have a 3 year old, I go to church on sunday, I am a 1st grade teacher, My favorite color is purple, My father is a preacher
663	I lease my car, I like potatoes, I have two dogs, I work in accounting, I am male, I often help her sort books in the library, I would like to be a journalist one day, My mother is a librarian, I am going to school for writing, I love to read fantasy novels and poetry
664	I lease my car, I like potatoes, I work in accounting, I am male, I have three children, I moved to america when i was 14, I got married when i was young, I like to cook
665	I lease my car, I am a recruiter, My favorite meal is brunch, I do not own any pets, My car is black, I hope to one day be a published author, I work in a used book store, I love art museums, I write short stories in my free time
666	I lease my car, I work in accounting, I like potatoes, I am male, I have two dogs, I grew up in kentucky, I am a veteran, My favorite book is ender s game, I have a garden, I like to read
667	I like barbies, My favorite song is barbie girl, I am a girl, My name is nancy, I volunteer at the local humane society, When i am not touring with the band , i like to garden, One day i would really like to skydive, I am a drummer in an indie band, My twin brother and i share an apartment
668	I like cookies, I am a student, I also like ice cream, I like painting , i can cook well, I like to grow my own herbs and vegetables in my garden, I sew my own clothes, I have long curly hair, My favorite food is raw onion
669	I like cosplay, I love watching tv and movies, I have been to a few renaissance fairs, My favorite show ever is game of thrones, I have depression and anxiety so i do not really go out a lot, I have a cat, I work at home , editing, I live at home with my dad and brother, I hope to move out soon
670	I like cosplay, I have been to a few renaissance fairs, I love watching tv and movies, My favorite show ever is game of thrones, I work from home, I have a career in party planning, I like to perform stand up comedy, My father was a member of the communist party, My sister belongs to a cult and has not spoken to the family in years
671	I like fishing, I m a simple man, I usually catch sunfish, I drink beers and go to the creek, I can t eat them but they re pretty, I live in japan and own the biggest mansion in the country, I drive a ferrari, I just bought a new mansion, I am a rapper
672	I like fishing, I m a simple man, I drink beers and go to the creek, I usually catch sunfish, I can t eat them but they re pretty, I am going bald, I make my own clothes, I ran into jimmy fallon just the other day, I play the piano
673	I like fishing, I usually catch sunfish, I am a simple man, I drink beers and go to the creek, I cannot eat them but they are pretty, I work at a restaurant as waiter, I am a cyclist, My favorite food is pizza, I am single
674	I like fishing, I usually catch sunfish, I am a simple man, I cannot eat them but they are pretty, I drink beers and go to the creek, I am a violinist, My mother was a nurse, I recently discovered a new love for indian food, I am gong to adopt a dog very soon
675	I like fishing, I drink beers and go to the creek, I usually catch sunfish, I cannot eat them but they are pretty, I am a simple man, I have purple hair, My favorite movie is gone with the wind, I have 2 turtles, I like to play video games, My favorite color is red
676	I like fishing, I can t eat them but they re pretty, I drink beers and go to the creek, I usually catch sunfish, I m a simple man, I am tall, I never eat veggies, I am strong, I love to run fast, I am young
677	I like lizards, I draw during classes instead of taking notes, I wish i could live in a fantasy world, I do not have many friends, I have long hair for a boy, My parents used to work in politics , until they discovered the goodness within themselves, I am a really , really good guitar player, I enjoy john gresham movies , but not his books, My girlfriend tells me she is going to leave me almost every day
678	I like reading, I m smart too, I am short, I am also round, My mom is a professional tennis player, My favorite food is spaghetti and meatballs, My favorite band is one direction, I hope to be a football player when i grow up
679	I like reading, I am also round, I am short, I m smart too, I have big face cheeks, My grandma raised me, I play the violin, I want to be a music teacher, I enjoy watching horror flicks
680	I like to bike, I can speak three languages, I love being in nature, I cook well, My mother is a teacher, I am a gentle giant, My family comes first to me, I prefer reading to sports, I sometimes drive fast, I have survived near death experiences
681	I like to cook, I am a foodie, I like to go shopping with my daughters, I love to chat with my friends, My dog s name is toto, My favorite food is meatloaf, My car is green and smells weird, My grandma is from denmark, My favorite band used to be toto
682	I like to cook, I have two dogs, I live on the third floor in an apartment, I am scared of clowns, I work many hours rehearsing for my show, My favorite food is hamburgers, I like movies based on comedies, My parents passed away in a car accident, I am a ballet dancer
683	I like to cook, I like gardening, I live in a small city, My children are mostly grown, I sometimes spend too much money at the casino, My favorite food is shrimp, I once met a man i still believe was a vampire, I love hanging out with my friends
684	I like to cook, I like gardening, I live in a small city, My children are mostly grown, My hair is short and pink, I love to travel, I have two full sleeves of tattoos, I work as a freight truck driver, I am a 43 year old woman
685	I like to cook, I have two roomates, I m scared of clowns, I live on the third floor in an apartment, Sometimes , i sit by strangers on the subway and strike up a conversation, I love watching sitcoms on television, I drive a honda that s seen better days, I m looking forward to reading the latest political thriller
686	I like to cook, I m scared of clowns, I live on the third floor in an apartment, I have two roomates, I have two dogs, My passion is photography, My favorite color is blue, I am a freshman at nyu, I have two older brothers, I am the youngest in my family
687	I like to cook, I am scared of clowns, I live on the third floor in an apartment, I have two dogs, I graduated college last week, We just bought a house near her parents, I got a job as a coach at a local highschool, My girlfriend is 6 months pregnant
688	I like to cook, I have a cat named kj, My husband was a salesman, I have lived in several different states, My doctor told me i have six months to live, I m really terrible at doing regular expressions, I m allergic to lactose, My favorite singer is justin bieber, I like having fried fish for supper
689	I like to cook, I have a cat named kj, I have lived in several different states, I worked as a nurse for many years, I am blind, I once drove a car ! my friend told me what to do while i drove, I have a job as a dj at a radio station, I have many friends, I use a cane to help me get around
690	I like to cook, My children are mostly grown, I have a cat named felix and a small terrer names emmy, I live in a small city, I play in a nfl fantasy football league, I like nfl and college football, I love to read fiction books, I am a georgia resident, My favorite fiction genres are sci fi and horror
691	I like to cook, I got married when i was young, I have three children, I moved to america when i was 14, My parents do not really speak english , but i speak italian and english, I could not live without my cell phone, My mom is my best friend, I enjoy the occasional drink with friends, I am more of a cat person than a dog person, I attend book club every week
692	I like to cook, I got married when i was young, I moved to america when i was 14, My parents do not really speak english , but i speak italian and english, I like listening to other rap music too, One of my favorite artists is drake, I also enjoy cooking, A hobby of mine is the drums, I like to go out to eat
693	I like to cook, My family owned a small restaurant, I work 9 to 5 job, Sometimes i volunteer at the soup kitchen, When i retire i want to open a bakery, I listen to rock music, I work for a large company, I like to eat food, I drive a fast car
694	I like to cook, My family owned a small restaurant, Sometimes i volunteer at the soup kitchen, I work 9 to 5 job, When i retire i want to open a bakery, I like to eat meat, I moved far from home, I have red hair, I am skilled in computer repair, My family owns a farm
695	I like to draw, I am a vegan, I am studying literature, My favorite food is tacos, I am from france, I sit on my computer for several hours a day, I wish i could speak another language, I m bored with my current lifestyle, I enjoy learning about other cultures
696	I like to draw, I am from france, My favorite food is tacos, I am studying literature, I am a vegan, Teaching is my passion, My husband is a cop, I love to read, My favorite place is the beach, I am married
697	I like to draw, I live in an apartment, I am one of four siblings, My favorite color is blue, I prefer summer, My favorite hero is flash, I type one handed, I do not like dresses
698	I like to draw, My mother is a teacher, My favorite color is blue, I am one of four siblings, I live in an apartment, When i m not touring with the band , i like to garden, I m a drummer in an indie band, One day i would really like to skydive, I volunteer at the local humane society
699	I like to draw, I have 5 brothers and sisters, I ride a bike, I work as a waitress, I am very shy, I am a childrens librarian, I have no children of my own, I wear glasses, I am recently divorced
700	I like to hike, I am a farmer, I lost my arm in a car accident, I am the youngest of 4 children, And , my best friend is calden, I just got my rejection letter from the gifted program, I am seven years old, I like to play soccer
701	I like to hike, My mother is dead, I write fiction for fun, I have a golden retriever, I work in advertising, I like to hike and spend time outdoors, My favorite thing to eat is a burrito, I am a guy that enjoys being a guy, I love to binge watch shows on streaming services
702	I like to hike, I write fiction for fun, My mother is dead, I have a golden retriever, I work in advertising, I don t like being asked a lot of questions, I have a shopping addiction, I think about food a lot, I love the forest
703	I like to hike, I have a golden retriever, I write fiction for fun, My mother is dead, I love rpg computer games, I have a crush on my co worker, I play tabletop games with friends, I still live at home
704	I like to hike, I am the youngest of 4 children, I graduated from college, I lost my arm in a car accident, I like rollerblading, I am caucasian, I avoid eating sugar, I try to eat a balanced diet, My favorite sport is hockey
705	I like to hike, I lost my arm in a car accident, I am a farmer, I graduated from college, I am the youngest of 4 children, I m learning to play the guitar, I like to go fishing, My favorite music is jimi hendrix, I m a college drop out
706	I like to hunt, I love basketball, I am not married, Have both daughters and sons, I like to sing, I enjoy hiking on glaciers, I always seem to be losing things , most recently , my mind, I recently moved to sweden, Lutefisk is the best dish in the whole world, Marduk is my favorite band
707	I like to hunt, I have two children, Both my parents were teachers, I had two cats growing up, I like to donate time at the local animal shelter, My back hurts chronically, I am an old soul, I tend to work myself up, I am passionate about a lot of things, I just want my voice to be heard
708	I like to hunt, I have two children, I like to donate time at the local animal shelter, Both my parents were teachers, I had two cats growing up, I work for a online company from home, I cook every night, I love family time, I am a soccer mom, I teach cheerleading in my spare time
709	I like to hunt, I had two cats growing up, Both my parents were teachers, I like to donate time at the local animal shelter, I collect comic books, I own two snakes, I am allergic to dust, I only eat organic food
710	I like to hunt, I had two cats growing up, Both my parents were teachers, I like to donate time at the local animal shelter, I have two children, Like a skeleton, I have long legs, I have long fingers, I m dumpy, I can t eat shrimp
711	I like to hunt, Have both daughters and sons, I love basketball, I like to sing, I like to go to the park, I work at a museum, I read a lot, I am stuck in a wheel chair, I don t have a lot of friends
712	I like to hunt, Have both daughters and sons, I love basketball, I am not married, My husband is a pastor, I have two children, I sell clothing on facebook, I do not like to clean house, My hair is curly and dark
713	I like to hunt, I love the tigers baseball team, I am thin, I am blonde, I just dyed my hair hot pink with purple highlights, My favorite hobby is chess, I enjoy movies about aliens invading the earth, Not a day goes by that i don t drink four mountain dews
714	I like to hunt, I like the tv show the walking dead, I am thin, I am blonde, I love the tigers baseball team, I like the music group the backstreet boys, I need to take 4 pills a day to live, I am younger then 46, I hate to drive, I like the taste of cheese
715	I like to hunt, I like the tv show the walking dead, I love the tigers baseball team, I am thin, I just bought a new house with my partner, I live in portland , oregon, I like to make my own coffee, I brew my own beer
716	I like to read, I am a veteran, I have a garden, I grew up in kentucky, I like to sing, I am not married, I love basketball, Have both daughters and sons
717	I like to read, I have one son, I like to go swimming, My parents are not married anymore, I have epilepsy, My hair is very long, I enjoy video games, I hate cooking, I have a boyfriend who lives in italy
718	I like to read, I like to swim, I work for the navy, I am blue and tall, My favorite show is thevoice, Both my parents are creative, My dad works in the automotive industry, I dream of playing music for a living, I m a student living at home while pursuing my music industry degree, Mom in telecommunications
719	I like to read, I am a diabetic, I have a long drive to work, Traffic makes me mad, I have three roommates, Both of my parents are teachers, I work at a coffee shop, My sister and i are in a grunge band, I have an eyebrows piercing
720	I like to read, I like cupcakes, I have brown hair, I work at a grocery store, My favorite color is blue, I am a retired school teacher, My husband will retire next year, Many of my former students like to visit me, We plan to travel after he retires, I like to take walks
721	I like to read, I like cupcakes, I work at a grocery store, I have brown hair, I like camping and the outdoors in general, I m originally from london , england, I am a model building enthusiast, I love going to comedy clubs, I recently lost both my parents to an automobile accident
722	I like to read, I love the beach, I have been at my job for seven years, I am a vegan, I love country music, I love to travel, I have two full sleeves of tattoos, My hair is short and pink, I work as a freight truck driver, I am a 43 year old woman
723	I like to read, I have brown hair, I like cupcakes, I work at a grocery store, I have a harsh inner critic, I do not like my reputation, I wish i could take back a mistake, I want to move, I do not like feeling controlled
724	I like to read, I listen to podcasts, I have a long drive to work, I am a diabetic, I love hockey, I ve flown out of the country, My bestfriend is from out of town, I studied business as my major, I ve a younger sibling
725	I like to read, I love country music, I have been at my job for seven years, I am a vegan, I love the beach, I love helping people, My favorite food is pasta, I live in a rural area, I am a older woman, I retired so i can spend more time with my husband and helping people
726	I like to read, I love the game halo, I work for a magazine, Yellow is my favorite color, I love to workout, I am glad that i work from home, I am confined to my bed, I enjoy playing computer games, I spend a good deal of time on social media
727	I like to read, I like to go swimming, I have epilepsy, My parents are not married anymore, I have one son, My mind is set on things above, I trust in god, I am weak and selfish , but i want to change, My heart hurts from a broken relationship
728	I like to read, I work for a magazine, I love the game halo, I love to workout, I am going bald, I hate flowers, I play the piano, I make my own clothes, I ran into jimmy fallon just the other day
729	I like to read, I don t own a television, My girlfriend just broke up with me, I work at a school as an art teacher, I hate social obligations because i always say the wrong thing, I like running in marathons, I spend a lot of time watching obscure foreign film on netflix, My dad owns a appliance store that i don t want to inherit
730	I like to read, I work at a grocery store, My favorite color is blue, I like cupcakes, My mother was a concert pianist, I have one little girl, I graduated top of my class, I work as a trauma surgeon
731	I like to read, My favorite color is blue, I have brown hair, I work at a grocery store, I like cupcakes, Marduk is my favorite band, Lutefisk is the best dish in the whole world, I recently moved to sweden, I always seem to be losing things , most recently , my mind, I enjoy hiking on glaciers
732	I like to read, My favorite book is enders game, I grew up in kentucky, I have a garden, I love sports , but rugby is my favorite, My neighbor comes over all the time to watch rugby with me, I like to fly kites, My car broke down last week
733	I like to read, My parents are not married anymore, I have one son, I like to go swimming, I have epilepsy, I love kids, I have a lot of style, When i am stressed , i overeat, I enjoy organizing my surroundings, I am a kindergarten teacher
734	I like to read, My girlfriend just broke up with me, I work at a school as an art teacher, I can t stand pizza, I don t own a television, I have been in a lot of romantic relationships that have ended up poorly, I have lots of friends and can hold a conversation easily, I get distracted easily, I wish i could be more serious about school
735	I like to read, I work at a school as an art teacher, My girlfriend just broke up with me, I cannot stand pizza, I do not own a television, I really like technology, My dog is smaller than my cat, I only date people taller than me, I like free diving
736	I like to shop, I love shoes, I like to dance, I like burritos, I enjoy fishing, I have a dog named bob, I live on an island, I like to make boats on the weekends
737	I like to shop, I graduated college and immediately went to graduate school, My parents pay my rent, I love my dog, I m a vegetarian but i eat fish , especially sushi, I have an above average iq, I don t have a college degree, My eyes are bright blue, I love to eat meat
738	I like to sing, I like to hunt, Have both daughters and sons, I love basketball, I am not married, I love animals and like working with them, I am in a local theater company, My parents are divorced, I am a history buff, I am engaged to be married
739	I like to surf, I am a mechanic, I own a german shepard, I own a corvette, I like to draw and paint in my spare time, My favorite color is blue, I drive a four wheel drive vehicle, My house is paid for, I wear a uniform to work
740	I like to surf, I am a reality tv star, I listen to country music, I worked as a clown in the circus, I wish i was a tiger, I tell bad jokes on purpose, I speak fluent german, I am six feet tall
741	I like to surf, My mother is a school teacher, I am a reality tv star, I worked as a clown in the circus, I listen to country music, I love photography, I enjoy spending a lot of money on my hobbies, I do not like waking up early, I like to use candles instead of lights, I love the sound of the rain
742	I like to surf, My mother is a school teacher, I listen to country music, I am a reality tv star, I have a pet husky, I like to race rc cars, I like to play nintendo, I love to eat fish, I live in the great white north
743	I like to surf, My mother is a school teacher, I worked as a clown in the circus, I listen to country music, I am a reality tv star, Pizza is my favorite, I try to watch what i eat, I enjoy eating italian food, I am east asian, My name is tom
744	I like to surf, I worked as a clown in the circus, I listen to country music, My mother is a school teacher, My mom is a professional tennis player, I am currently in elementary school, My favorite band is one direction, My favorite food is spaghetti and meatballs, I hope to be a football player when i grow up
745	I like to swim, I am bald, I hate tacos, I don t work, I enjoy reading, I am a nurse, I work in the emergency room, My favorite drink is dr pepper, I am divorced
746	I like to swim, I don t work, I hate tacos, My favorite drink is chocolate milk, I am bald, I enjoy going to festivals, My friends don t call my by my real name, I eat meat, My favorite band is the story so far, I recently started working online
747	I like to swim, I hate tacos, I don t work, My favorite drink is chocolate milk, I am bald, I love the all american rejects, I am a weightlifter, I run marathons, I have three great danes, I despise sweet potatoes
748	I like to swim, I like to read, I work for the navy, My favorite show is thevoice, I am 7 foot tall, I am hoping to play, I just graduated college, I am hoping to play basketball overseas
749	I like to swim, I like to read, My favorite show is thevoice, I am blue and tall, I enjoy reading, I am a vegan, I am going back to school, I love animals
750	I like to swim, I like to read, My favorite show is thevoice, I am blue and tall, I work for the navy, I hate red meat, I love to surf, I live near the ocean, My hair is brown and curly
751	I like to swim, I am in college, I am a social butterfly, I exercise everyday, I was adopted, I work at a local party store, Christmas is my favorite holiday, I met my birth mother when i was sixteen
752	I like to swim, I eat large meals, I am in college, I exercise everyday, I am caucasian, I avoid eating sugar, My favorite sport is hockey, I try to eat a balanced diet
753	I like to swim, I exercise everyday, I eat large meals, I am in college, I am a social butterfly, I like to watch people pray together, I like to work out at the gym to christian electronic dance music, People do not like me too much but i like them anyways, People hate that i obsess about the poor, I like to make cellphone apps that would help heal our world
754	I like to swim, I work for the navy, My favorite show is thevoice, I am blue and tall, I like to read, I love watching game of thrones, I once saw the easter bunny hiding behind my closet door, I grew up in alabama, I do not like the song sweet home alabama, My mom is a checker at the local grocery store
755	I like to swim, I am a marathon runner, I prefer morning to night, My favorite fruit is an apple, I prefer winter over fall, I like the guitar, I like music, I am a vegan, I like to go for bike rides, I like to skateboard
756	I like to swim, I prefer morning to night, My favorite fruit is an apple, I am a marathon runner, I prefer winter over fall, Grandma makes jewelry, I sing in the school chorus, I live with my paps and grandma, Paps likes to go mushroom hunting, I have a brown belt in karate
757	I like to swim, My favorite show is thevoice, I am blue and tall, I like to read, I am vegan, I work at a retail store, I enjoy walking on the beach, I have red hair, I live close to the coast
758	I like to vote, I like toyota cars, Someday i would like a truck, I work at a hospital, I don t like working long hours, I work as a meeting coordinator, I live with my husband and two children, I love to take road trips, My favorite place to visit is seattle
759	I love animals, I am a vegan, I volunteer walking dogs twice a week, I have an 18 year old son, I spend time signing a lot of petitions and donate to animal rights groups, I am in a rock band, I hate wearing make up, I have really long fingernails, I own a hot pink moped, My favorite color is orange
760	I love animals, I love country, I am going back to school, I enjoy reading, I am a vegan, I like burritos, I like to dance, I like pizza, I like to shop, I love shoes
761	I love animals, I love dancing, I am a vegan, I love country music, I have a farm with pigs , horses and hens, I would like to go to school to become a veterinarian, I am currently on a diet, I love going to the gym, I have three pets, I love animals and i want to help them
762	I love animals, I love reading, I work at a hotel, My favorite band is a fine frenzy, I like chicken nuggets, I love to workout, I like to read, Yellow is my favorite color, I work for a magazine
763	I love animals, I work for peta, I am a vegetarian, I like to make clothes, I make 50k a year, I recently graduated from college, I have not had luck with finding a job, So i started a small business, I sell miscellaneous stuff in local fairs, Its been doing better than i expected
764	I love animals, I work for peta, I make 50k a year, I am a vegetarian, I like to make clothes, I like to smell my own farts, My beer gut is so huge i haven t seen my feet in two years, I am from san fransico, I am always the one who buys the beers, I like to place blame on other people even when i know it is my fault
765	I love animals, I enjoy playing tennis, I am an aspiring singer, Green is my favorite color, My father worked for ge, I like to stay fit, I love to walk in the woods, I love animals, I don t much like tv, I love to watch ted talks
766	I love animals, I am an aspiring singer, I enjoy playing tennis, Green is my favorite color, I work at a grocery store, I go visit them sometimes, She likes to grow plants in her garden, My best friend lives in a big city
767	I love animals, I am an aspiring singer, My father worked for ge, I enjoy playing tennis, I don t have many friends, I like lizards, I wish i could live in a fantasy world, I have long hair for a boy
768	I love animals, I m going back to school, I love country, I m a vegan, I am a military veteran, I love travelling and discovering new cultures, I volunteer at my local animal shelter, I have been married for 20 years
769	I love animals, I m going back to school, I love country, I enjoy reading, I drive a ford mustang, I have a girlfriend named luis , and she goes to my college, I am college student, I am 25 years old and live with my parents, I play drums in a band
770	I love animals, I have an 18 year old son, I volunteer walking dogs twice a week, I spend time signing a lot of petitions and donate to animal rights groups, I volunteer at an animal shelter, My favorite kind of food is italian, I love going to concerts, I am a librarian
771	I love animals, I have an 18 year old son, I spend time signing a lot of petitions and donate to animal rights groups, I am a vegan, I graduated from princeton, My favorite thing to do is to go to museums, I am currently listening to bach, I travel at least once a year
772	I love animals, I love to watch ted talks, I do not much like tv, I love to walk in the woods, I have 3 thumbs, I can type 140 words per minute, I like the color red, I talk very fast
773	I love animals, I love to walk in the woods, I don t much like tv, I like to stay fit, I love to watch ted talks, My class has 26 kids, I teach at a large school, I enjoys kayaking in my free time, I teach kindergarten, I graduated college in 2016
774	I love animals, I love to walk in the woods, I love to watch ted talks, I like to stay fit, I don t much like tv, I lost my arm in a car accident, I am the youngest of 4 children, I am a farmer, I like to hike
775	I love animals, My favorite band is a fine frenzy, I work at a hotel, I love reading, My idea of flirting is to stare from a distance, In my freetime i enjoy cloud watching, My favorite store to shop at is costco, I work a dead end 9 to 5 job as a snakeskin oil salesman
776	I love animals, I volunteer walking dogs twice a week, I have an 18 year old son, I spend time signing a lot of petitions and donate to animal rights groups, I am a vegan, I work at a factory, I ride my bicycle everywhere, I broke my nose when i was ten, My favorite city is seattle, I enjoy jazz music
777	I love animals, I like watching british tv shows and movies, I just turned 77, I have one grandson and one daughter, My favorite movie is titanic, I have two kids , ages 2 and 6, I work part time at aldis, I am from sterling heights , michigan, My husband owns a small auto repair shop
778	I love dancing, I am an only child, I like going to foreign countries, I have 3 cats, I am a vegan, My favorite music is country, I love my job, I love all animals, I used to work as an actress
779	I love dancing, I love country music, I am a vegan, I love animals, I am a poet, My friends and i enjoy golfing on sunny days, I am the head of the gun club, I have a beta fish, I donate old clothes to the homeless
780	I love dancing, I have a farm with pigs , horses and hens, I am a vegan, I love country music, I love animals, I am an excellent student, I will graduate from college in two years, My parents are divorced, I could not live without my dog , bart
781	I love fishing, My father died when i was 2, I hate to lose, My favorite season is spring, I have blue eyes, I tell bad jokes on purpose, I wish i was a tiger, My mom and dad are both red headed, I am six feet tall
782	I love flowers, I have 2 kids, I have 3 dog, I work at a vet, I am on a low carb diet, I am trying to become a male model in hollywood, I am a huge fan of classical jazz, I overcame urinary cancer at age 18, I recently had a private lunch with will ferrell
783	I love flowers, I have 2 kids, I work at a vet, My husband is a lawyer, I have 3 dog, I enjoy karaoke every friday night, I m allergic to apples yet still eat them, I coach the girl s volley ball team, I m a sixth grade teacher, I enjoy crosswords , crocheting , and football
784	I love history, I am a technician, My mother was an rn, My father was a dry wall finisher, I love to play softball, In my free time , i watch movies and sleep, I would like to open a restaurant someday, I am a personal chef, My favorite color is hunter green, I love creating new recipes
785	I love history, My mother was an rn, I am a technician, My father was a dry wall finisher, My favorite city is new york, I am a lawyer, I love to run, My wife just left me
786	I love reading, I love animals, My favorite band is a fine frenzy, I like chicken nuggets, I work at a hotel, I cannot wait to start my new life, Until then i will make 215 an hour, I hope it to become a doctor one day, I am a college student who is a full time working mom
787	I love reading, My favorite band is a fine frenzy, I like chicken nuggets, I love animals, I work at a hotel, My favorite food is mexican food, I am a nurse at a hospital, I love to read and cook, I am a mother
788	I love reading, Since i have fibromyalgia , the harsher winters here in pa will be rough on me, I enjoy doing beadwork and writing my own patterns, I just moved from va to pa, I grew up on a large farm, I listen to podcasts, I like to read, I am a diabetic, Traffic makes me mad, I have a long drive to work
789	I love sunsets, I eat breakfast then go right back to bed, I work 60 hours a week, I wake early to watch the sun rise every day, I sell real estate and wait tables on the weekends, I am the youngest of 8 kids, My guilty pleasure is mcdonald, I have a close circle of friends i would do anything for, I never stop looking for love
790	I love sunsets, I eat breakfast then go right back to bed, I work 60 hours a week, Sometimes i think i should get out and exercise more, I really like cake and do not prefer vegetables, I am almost finished with my degree, I am 49 , male and live in dublin , ireland, I have one sister and a niece and nephew
791	I love sunsets, I wake early to watch the sun rise every day, Sometimes i think i should get out and exercise more, I work 60 hours a week, I am studying to be a special education teacher, I was a navy brat and have attended 16 schools in 12 years, I make friends fast and say goodbye fast, I chew my nails, I kayak at the lake on weekends
792	I love sunsets, Sometimes i think i should get out and exercise more, I eat breakfast then go right back to bed, I work 60 hours a week, I wake early to watch the sun rise every day, I have a dog named bob, I live on an island, I am a closet cannibal, I enjoy fishing
793	I love sunsets, Sometimes i think i should get out and exercise more, I eat breakfast then go right back to bed, I work 60 hours a week, I wake early to watch the sun rise every day, I am going to school for writing, My mother is a librarian, I often help her sort books in the library, I love to read fantasy novels and poetry, I would like to be a journalist one day
794	I love to bake, I love to ride horses, My favorite flower is a rose, I am from texas, My mother is a retired teacher, I am a lover of italian food, My father has a very prestigious job, My favorite band is iron maiden, I enjoy watching netflix with family, I enjoy making d models for video games and animations
795	I love to bake, My mother is a retired teacher, I am from texas, I love to ride horses, I am a girl, I love sushi, My favorite color is blue, I own a car
796	I love to bake, My mother is a retired teacher, My favorite flower is a rose, I am from texas, I want to be a movie director when i grow up, I really enjoy making friends, I play the trumpet, I am in my high school band
797	I love to cook, I like to fish, I love dogs, My dad was a carsalesman, I am deathly terrified of heights, I like to do all my shopping at walmart, I prefer to live where the weathers cold, Winters my favorite time of the year, I am really excited to see how game of thrones ends
798	I love to cook, I like to fish, I am a happy person, My dad was a carsalesman, I still love my cat despite all this, I spend an hour getting ready in the morning, I have horrible allergies, I cannot stand clutter or dust
799	I love to cook, My dad was a carsalesman, I am a happy person, I drink a lot of apple martinis when i get a girls night out, I am a member of four book clubs , the pta , and two bunch groups, I own a black suburban, I spend a lot of time driving my kids to sports events, I still dream about going to paris and designing clothes
800	I love to cook, My dad was a carsalesman, I am a happy person, I like to fish, I am an environmental activist, I have visited 12 national parks in the us, I also like to mountain bike, I live in vermont, I love to hike
801	I love to cook, I am going on a cruise next month, My parents recently moved to florida, I breed maine coon cats and show them, I am a guitar player, I like playing video games, My parents do not know i am gay, Welding is my career field
802	I love to cook, My parents recently moved to florida, I breed maine coon cats and show them, My brother is currently couch surfing at my house, I do not like my job, I visit india often, I am an athlete, I want to be an explorer
803	I love to draw, I am a very tall woman, My family came from greece in the 1950 s, I have very curly hair, I love to cook ethnic foods, I love my family, I like playing basketball, I love to listen to religious music, I am a middle aged woman, I don t talk a lot
804	I love to draw, I love to cook ethnic foods, I am a very tall woman, My family came from greece in the 1950 s, My parents are distant, I see a therapist that doesn t really understand me, Sometimes i wish i didn t have to wake up in the morning, I have an older brother that has gotten into trouble, I have trouble feeling emotion
805	I love to fish, I have a black lab, I am from tennessee, I am married, My favorite musician in charlie daniels, I have ink stains on all my shirts, My cats name is leroy jenkins, I enjoy playing retro video games on my 386, My suspenders sometimes make my shoulders hurt, I wish i had a real dragon i could train
